Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type,label_bin
22,1266342,41,2664,456,0,64.97561,109.86457,976,0,158.04546,312.67526,7595.10464,67.12246771,15075.5,104051.3997,948537,0,1266342,31658.55,159355.2595,996324,2,317671,7387.697674,19636.44809,104616,1,1328,1424,32.37671972,34.74574799,0,976,111.83721,239.68684,57449.78495,0,1,0,113.15294,2664,29200,243,24,32,0.0,0,0,0.0,0,0,Normal Traffic,0
22,1319353,41,2664,456,0,64.97561,109.86457,976,0,158.04546,312.67526,7289.93681,64.42551766,15706.58333,104861.8701,955790,1,1319353,32983.825,159247.9008,996423,1,363429,8451.837209,21337.26261,104815,1,1328,1424,31.07583793,33.34967973,0,976,111.83721,239.68684,57449.78495,0,1,0,113.15294,2664,29200,243,24,32,0.0,0,0,0.0,0,0,Normal Traffic,0
22,160,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12500.0,160.0,0.0,160,160,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,6250.0,6250.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,290,243,0,32,0.0,0,0,0.0,0,0,Normal Traffic,0
22,1303488,41,2728,456,0,66.53658,110.129944,976,0,157.95238,319.12143,7182.267884,63.6753081,15896.19512,106554.899,956551,0,1303488,32587.2,160397.0499,997357,1,346851,8459.780488,23962.23892,138295,0,1328,1360,31.45406785,32.22124024,0,976,111.45238,241.64279,58391.23867,0,1,0,112.79518,2728,29200,243,24,32,0.0,0,0,0.0,0,0,Normal Traffic,0
35396,77,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38961.03896,38.5,14.8492424,49,28,0,0.0,0.0,0,0,49,49.0,0.0,49,49,32,64,12987.01299,25974.02597,0,0,0.0,0.0,0.0,0,0,1,0.0,0,243,290,0,32,0.0,0,0,0.0,0,0,Normal Traffic,0
22,244,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8196.721311,244.0,0.0,244,244,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,4098.360656,4098.360656,0,0,0.0,0.0,0.0,0,0,1,0.0,0,290,243,0,32,0.0,0,0,0.0,0,0,Normal Traffic,0
22,1307239,41,2728,456,0,66.53658,110.129944,976,0,165.85,325.14236,7161.659039,61.96265564,16340.4875,107311.8787,956263,0,1307239,32680.975,159066.9939,997887,1,350863,8996.487179,20369.77643,87521,1,1328,1296,31.36381335,30.59884229,0,976,114.17073,243.96477,59518.81,0,1,0,115.580246,2728,29200,243,24,32,0.0,0,0,0.0,0,0,Normal Traffic,0
60058,82,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36585.36585,41.0,11.3137085,49,33,0,0.0,0.0,0,0,49,49.0,0.0,49,49,32,64,12195.12195,24390.2439,0,0,0.0,0.0,0.0,0,0,1,0.0,0,243,290,0,32,0.0,0,0,0.0,0,0,Normal Traffic,0
22,171,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11695.90643,171.0,0.0,171,171,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,5847.953216,5847.953216,0,0,0.0,0.0,0.0,0,0,1,0.0,0,290,243,0,32,0.0,0,0,0.0,0,0,Normal Traffic,0
22,210,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9523.809524,210.0,0.0,210,210,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,4761.904762,4761.904762,0,0,0.0,0.0,0.0,0,0,1,0.0,0,290,243,0,32,0.0,0,0,0.0,0,0,Normal Traffic,0
60060,75,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40000.0,37.5,14.8492424,48,27,0,0.0,0.0,0,0,48,48.0,0.0,48,48,32,64,13333.33333,26666.66667,0,0,0.0,0.0,0.0,0,0,1,0.0,0,243,290,0,32,0.0,0,0,0.0,0,0,Normal Traffic,0
35398,77,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38961.03896,38.5,13.43502884,48,29,0,0.0,0.0,0,0,48,48.0,0.0,48,48,32,64,12987.01299,25974.02597,0,0,0.0,0.0,0.0,0,0,1,0.0,0,243,290,0,32,0.0,0,0,0.0,0,0,Normal Traffic,0
52320,2,2,2071,2065,6,1035.5,1455.9329,0,0,0.0,0.0,1040000000.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,40,0,1000000.0,0.0,6,2065,1378.6666,1188.7642,1413160.333,0,0,1,2068.0,2071,256,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic,0
52320,27701,15,18467,2920,0,1231.1333,1054.4924,6,0,4.0,3.0983868,667521.0281,758.0953756,1385.05,5021.180418,22149,1,27701,1978.642857,5966.126957,22149,1,22437,4487.4,9942.670532,22273,2,324,144,541.4966969,216.5986787,0,2920,840.5,1041.0883,1083864.738,0,1,0,880.5238,18467,8192,357,13,20,0.0,0,0,0.0,0,0,Normal Traffic,0
21,152547,19,206,43,0,10.842105,11.903609,51,0,19.2,14.203873,4496.974703,288.4356952,3547.604651,13902.31648,78771,1,152541,8474.5,28610.66811,120102,3,152408,6350.333333,18298.27859,78771,1,404,524,124.5517775,163.8839177,0,51,15.244445,13.804076,190.5525253,0,1,0,15.590909,206,8192,229,17,20,0.0,0,0,0.0,0,0,Normal Traffic,0
53235,4,3,18,6,6,6.0,0.0,0,0,0.0,0.0,4500000.0,750000.0,2.0,1.414213562,3,1,4,2.0,1.414213562,3,1,0,0.0,0.0,0,0,60,0,750000.0,0.0,6,6,6.0,0.0,0.0,0,0,1,8.0,18,389,-1,2,20,0.0,0,0,0.0,0,0,Normal Traffic,0
53234,45,1,6,6,6,6.0,0.0,6,6,6.0,0.0,400000.0,66666.66667,22.5,30.40559159,44,1,0,0.0,0.0,0,0,1,1.0,0.0,1,1,20,40,22222.22222,44444.44444,6,6,6.0,0.0,0.0,0,0,1,8.0,6,229,255,0,20,0.0,0,0,0.0,0,0,Normal Traffic,0
123,16506,1,48,48,48,48.0,0.0,48,48,48.0,0.0,5816.066885,121.1680601,16506.0,0.0,16506,16506,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,60.58403005,60.58403005,48,48,48.0,0.0,0.0,0,0,0,72.0,48,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic,0
